Component, source, cost(usd), link
Velcro, target, 6.19, https://www.target.com/p/velcro-4-39-x-2-34-industrial-strength-tape/-/A-85028238#lnk=sametab
Arduino mega, home, 49.90, https://store-usa.arduino.cc/products/arduino-mega-2560-rev3?gad_campaignid=21317508903
ESP32-WROOM DevKit, home, 8.09, https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-32UE/12091813?gQT=2
analog joystick breakout module, hardware shop, 5.99, https://www.microcenter.com/product/646122/Joystick_Module?gQT=1
1.8" 160x128 LCD display, hardware shop, 9.99, https://www.amazon.com/DSD-TECH-Display-Interface-Arduino/dp/B07WDJ3TV6?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=AFLYC5O31PGVX&gQT=2
string/elastic, target, 8.99, https://www.target.com/p/rope-twine-50-39-pack-up-38-up-8482/-/A-89825708#lnk=sametab
analog slider * 4, hardware shop, 6.2, https://www.aliexpress.com/item/1005005517675853.html?spm=a2g0o.productlist.main.14.5a44TnLGTnLGcJ&algo_pvid=fdc37ab8-5bda-4303-83d7-0ea9591b0f53&pdp_ext_f=%7B%22order%22%3A%22124%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
jumper wires, hardware shop, 0.89, https://www.aliexpress.us/item/3256806429994553.html?src=google&pdp_npi=4%40dis%21USD%210.95%210.89%21%21%21%21%21%40%2112000037832224162%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256806429994553&ds_e_product_merchant_id=109167730&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20123152476&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=20127768206&gatewayAdapt=glo2usa
straws, scavanged, 0, N/A
tape, hardware shop, 7.28, https://www.target.com/p/gorilla-double-sided-tape/-/A-78262323#lnk=sametab
breadboard, hardware shop, 0.55, https://www.aliexpress.us/item/3256808365241330.html?src=google&pdp_npi=4%40dis%21USD%210.60%210.55%21%21%21%21%21%40%2112000045669927056%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256808365241330&ds_e_product_merchant_id=5445838537&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20123152476&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_campaignid=20127768206&gatewayAdapt=glo2usa
prints, hardware shop, 0, N/A
